brand,name_cn,name_en,category,enabled
喜茶,三倍厚抹,,抹茶,1
喜茶,咸酪厚抹,,抹茶,1
喜茶,芝芝抹茶,,抹茶,1
喜茶,去火纤体瓶,,果茶,1
喜茶,多肉桃李,,果茶,1
喜茶,多肉芒芒,,果茶,1
喜茶,多肉葡萄,,果茶,1
喜茶,多肉黄皮葡,,果茶,1
喜茶,奇兰粉芭乐,,果茶,1
喜茶,奇兰芭乐莲雾,,果茶,1
喜茶,奇兰苹果杏,,果茶,1
喜茶,奇香黄皮桃,,果茶,1
喜茶,杨枝甘露,,果茶,1
喜茶,杨桃三重甘,,果茶,1
喜茶,椰椰芒芒,,果茶,1
喜茶,清爽芭乐提,,果茶,1
喜茶,清爽芭乐葡,,果茶,1
喜茶,满杯红柚,,果茶,1
喜茶,羽衣纤体瓶,,果茶,1
喜茶,芒芒甘露,,果茶,1
喜茶,芝芝多肉芒芒,,果茶,1
喜茶,芝芝多肉葡萄,,果茶,1
喜茶,茉王网纹瓜,,果茶,1
喜茶,轻芝多肉葡萄,,果茶,1
喜茶,轻酵黄皮康普茶,,果茶,1
喜茶,金韵苹果人参果,,果茶,1
喜茶,青芒酸,,果茶,1
喜茶,咸酪碎银子,,牛乳茶,1
喜茶,嫣红牛乳茶,,牛乳茶,1
喜茶,小奶茉,,牛乳茶,1
喜茶,烤黑糖波波牛乳,,牛乳茶,1
喜茶,烤黑糖波波牛乳茶,,牛乳茶,1
喜茶,碎银子牛乳茶,,牛乳茶,1
喜茶,苦巧·咸酪,,牛乳茶,1
喜茶,苦巧·咸酪碎银子,,牛乳茶,1
喜茶,纯绿妍茶后,,茶,1
喜茶,绿妍轻柠茶,,茶,1
喜茶,芝芝绿妍茶后,,茶,1
喜茶,鸭喜香轻柠茶,,茶,1
瑞幸,大西瓜茉莉冰奶,,冰奶,1
瑞幸,大西瓜茉莉冰奶（超大杯）,,冰奶,1
瑞幸,小苹果茉莉冰奶,,冰奶,1
瑞幸,小苹果茉莉冰奶（超大杯）,,冰奶,1
瑞幸,小青桔茉莉冰奶,,冰奶,1
瑞幸,小青桔茉莉冰奶（超大杯）,,冰奶,1
瑞幸,紫葡萄茉莉冰奶,,冰奶,1
瑞幸,紫葡萄茉莉冰奶（超大杯）,,冰奶,1
瑞幸,鲜柠茉莉冰奶,,冰奶,1
瑞幸,鲜萃轻轻茉莉,,冰奶,1
瑞幸,鲜萃轻轻茉莉（超大杯）,,冰奶,1
瑞幸,奶霜茉莉（特大杯）,,抹茶,1
瑞幸,抹茶丝绒拿铁,,抹茶,1
瑞幸,抹茶拿铁,,抹茶,1
瑞幸,瑞之抹茶,,抹茶,1
瑞幸,瑞之抹茶（超大杯）,,抹茶,1
瑞幸,生椰杨枝甘露,,抹茶,1
瑞幸,生椰杨枝甘露（特大杯）,,抹茶,1
瑞幸,雪酪芝士抹茶,,抹茶,1
瑞幸,丝绒拿铁,,拿铁,1
瑞幸,冰吸生椰拿铁,,拿铁,1
瑞幸,卡布奇诺,,拿铁,1
瑞幸,埃塞金烘拿铁,,拿铁,1
瑞幸,抹茶好喝椰,,拿铁,1
瑞幸,拿铁,,拿铁,1
瑞幸,椰芙佳朵拿铁,,拿铁,1
瑞幸,海盐焦糖拿铁,,拿铁,1
瑞幸,深烘拿铁,,拿铁,1
瑞幸,焦糖玛奇朵,,拿铁,1
瑞幸,燕麦拿铁,,拿铁,1
瑞幸,生椰丝绒拿铁,,拿铁,1
瑞幸,生椰拿铁,,拿铁,1
瑞幸,皇后限定苹果拿铁,,拿铁,1
瑞幸,绿沙沙拿铁,,拿铁,1
瑞幸,茉莉花香拿铁,,拿铁,1
瑞幸,轻椰茉莉拿铁,,拿铁,1
瑞幸,陨石拿铁,,拿铁,1
瑞幸,香草丝绒拿铁,,拿铁,1
瑞幸,香草拿铁,,拿铁,1
瑞幸,大菠萝海盐气泡水（鲜柠）,,气泡水,1
瑞幸,百香果凤梨气泡水（鲜柠）,,气泡水,1
瑞幸,乳酸菌美式,,美式咖啡,1
瑞幸,全冰奶酪美式,,美式咖啡,1
瑞幸,全冰黑巧美式,,美式咖啡,1
瑞幸,加浓美式,,美式咖啡,1
瑞幸,埃塞瑰夏冷萃,,美式咖啡,1
瑞幸,埃塞金烘美式,,美式咖啡,1
瑞幸,大菠萝生椰冷萃,,美式咖啡,1
瑞幸,小青桔C冰茶,,美式咖啡,1
瑞幸,小青桔C美式,,美式咖啡,1
瑞幸,手打鲜切柠檬茶,,美式咖啡,1
瑞幸,柚C冰茶,,美式咖啡,1
瑞幸,柚C美式,,美式咖啡,1
瑞幸,柠C冰茶,,美式咖啡,1
瑞幸,柠C美式,,美式咖啡,1
瑞幸,标准美式,,美式咖啡,1
瑞幸,椰青冰萃美式,,美式咖啡,1
瑞幸,橙C冰茶,,美式咖啡,1
瑞幸,橙C美式,,美式咖啡,1
瑞幸,深烘美式,,美式咖啡,1
瑞幸,瑰夏云朵冷萃,,美式咖啡,1
瑞幸,百香果C冰茶,,美式咖啡,1
瑞幸,百香果C美式,,美式咖啡,1
瑞幸,皇后限定苹果C冰茶,,美式咖啡,1
瑞幸,皇后限定苹果C美式,,美式咖啡,1
瑞幸,缤纷C美式,,美式咖啡,1
瑞幸,茉莉花香美式,,美式咖啡,1
瑞幸,葡萄冰萃美式,,美式咖啡,1
瑞幸,葡萄鲜切柠檬茶,,美式咖啡,1
瑞幸,鲜切柠C美式,,美式咖啡,1
蜜雪冰城,珍珠奶茶,,奶茶,1
蜜雪冰城,冰鲜柠檬水,,果饮,1
